Entity,Code,Year,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
Antigua and Barbuda,ATG,2012,15.65217391
Antigua and Barbuda,ATG,2017,15.65217391
Arab World,,2017,84.2697615298626
Argentina,ARG,1997,73.36884722
Argentina,ARG,2002,71.36175073
Argentina,ARG,2007,72.895539
Argentina,ARG,2012,73.92800424
Argentina,ARG,2017,73.92800424
Armenia,ARM,1997,66.21993872
Armenia,ARM,2002,65.76670128
Armenia,ARM,2007,66.95005314
Armenia,ARM,2012,71.67630058
Armenia,ARM,2017,74.22011306
Australia,AUS,1997,69.73565091
Australia,AUS,2002,68.36149434
Australia,AUS,2007,59.57407915
Australia,AUS,2012,59.84768088
Australia,AUS,2017,63.42877854
Austria,AUT,1982,3.898476685
Austria,AUT,1987,4.358817889
Austria,AUT,1992,2.729332132
Austria,AUT,1997,2.744161796
Austria,AUT,2002,2.793738301
Austria,AUT,2007,2.506941377
Austria,AUT,2012,2.207840554
Austria,AUT,2017,2.207840554
Azerbaijan,AZE,1992,67.46080731
Azerbaijan,AZE,1997,73.94976786
Azerbaijan,AZE,2002,63.28598795
Azerbaijan,AZE,2007,69.93480033
Azerbaijan,AZE,2012,74.24394319
Azerbaijan,AZE,2017,72.52613131
Bahrain,BHR,1992,54.51216631
Bahrain,BHR,1997,50.76011653
Bahrain,BHR,2002,46.02070105
Bahrain,BHR,2007,39.31502301
Bahrain,BHR,2012,33.69493898
Bahrain,BHR,2017,33.31031308
Bangladesh,BGD,2012,87.81711737
Bangladesh,BGD,2017,87.81711737
Barbados,BRB,1992,73.06666667
Barbados,BRB,1997,67.65432099
Barbados,BRB,2002,67.65432099
Barbados,BRB,2007,67.65432099
Barbados,BRB,2012,67.65432099
Barbados,BRB,2017,67.65432099
Belarus,BLR,1997,26.91907635
Belarus,BLR,2002,24.02779334
Belarus,BLR,2007,26.40613587
Belarus,BLR,2012,31.66520979
Belarus,BLR,2017,30.85182534
Belgium,BEL,1982,3.525500994
Belgium,BEL,1987,2.290046976
Belgium,BEL,1992,0.978234753
Belgium,BEL,1997,0.208062419
Belgium,BEL,2002,0.566933808
Belgium,BEL,2007,0.593505219
Belgium,BEL,2012,0.720865038
Belgium,BEL,2017,1.126690035
Belize,BLZ,1987,90
Belize,BLZ,1992,55.484221
Belize,BLZ,1997,63.43726779
Belize,BLZ,2002,67.72277228
Belize,BLZ,2007,67.72277228
Belize,BLZ,2012,67.72277228
Belize,BLZ,2017,67.72277228
Benin,BEN,1987,59.61466126
Benin,BEN,1992,62.3597948
Benin,BEN,1997,56.28891656
Benin,BEN,2002,42.53347065
Benin,BEN,2007,32.36677116
Benin,BEN,2012,26.12270715
Benin,BEN,2017,25.21367521
Bhutan,BTN,2012,94.08284024
Bhutan,BTN,2017,94.08284024
Bolivia,BOL,1987,85
Bolivia,BOL,1992,88.16589044
Bolivia,BOL,1997,90.30603395
Bolivia,BOL,2002,91.30665534
Bolivia,BOL,2007,91.81981578
Bolivia,BOL,2012,91.95402299
Bolivia,BOL,2017,91.95402299
Botswana,BWA,1992,47.78761062
Botswana,BWA,1997,42.94793449
Botswana,BWA,2002,39.87183724
Botswana,BWA,2007,37.84461529
Botswana,BWA,2012,38.23983531
Botswana,BWA,2017,35.75129534
Brazil,BRA,1997,60.25910491
Brazil,BRA,2002,57.03821095
Brazil,BRA,2007,56.21586894
Brazil,BRA,2012,57.32160732
Brazil,BRA,2017,60.03258172
Brunei,BRN,1997,5.760869565
Brunei,BRN,2002,5.760869565
Brunei,BRN,2007,5.760869565
Brunei,BRN,2012,5.760869565
Brunei,BRN,2017,5.760869565
Bulgaria,BGR,1992,27.53383144
Bulgaria,BGR,1997,22.75006839
Bulgaria,BGR,2002,11.27636971
Bulgaria,BGR,2007,11.27636971
Bulgaria,BGR,2012,16.61242345
Bulgaria,BGR,2017,14.74772466
Burkina Faso,BFA,1987,79.74313327
Burkina Faso,BFA,1992,80.58510638
Burkina Faso,BFA,1997,78.01176471
Burkina Faso,BFA,2002,55.60254817
Burkina Faso,BFA,2007,51.43031785
Burkina Faso,BFA,2012,51.43031785
Burkina Faso,BFA,2017,51.43031785
Burundi,BDI,1987,64
Burundi,BDI,1992,72.41071429
Burundi,BDI,1997,75.8490566
Burundi,BDI,2002,77.93849178
Burundi,BDI,2007,79.25740807
Burundi,BDI,2012,79.25740807
Burundi,BDI,2017,79.25740807
Cambodia,KHM,2007,94.0018315
Cambodia,KHM,2012,94.0018315
Cambodia,KHM,2017,94.0018315
Cameroon,CMR,1987,35.35353535
Cameroon,CMR,1992,35
Cameroon,CMR,1997,68.05371353
Cameroon,CMR,2002,72.5965327
Cameroon,CMR,2007,67.71407571
Cameroon,CMR,2012,67.71407571
Cameroon,CMR,2017,67.71407571
Canada,CAN,1992,9.015800563
Canada,CAN,1997,9.425210406
Canada,CAN,2002,7.683151199
Canada,CAN,2007,5.619554695
Canada,CAN,2012,10.12483011
Canada,CAN,2017,7.413546085
Cape Verde,CPV,2002,91.83673469
Cape Verde,CPV,2007,92.59259259
Cape Verde,CPV,2012,92.59259259
Cape Verde,CPV,2017,92.59259259
Caribbean Small States,,2014,14.89
Caribbean Small States,,2017,51.6932505995731
Central African Republic,CAF,1987,2.06185567
Central African Republic,CAF,1992,1.069518717
Central African Republic,CAF,1997,0.722021661
Central African Republic,CAF,2002,0.582072177
Central African Republic,CAF,2007,0.551724138
Central African Republic,CAF,2012,0.551724138
Central African Republic,CAF,2017,0.551724138
Central Europe and the Baltics,,2017,12.5366609183553
Chad,TCD,1987,81.7679558
Chad,TCD,1992,78.50139707
Chad,TCD,1997,77.57935397
Chad,TCD,2002,78.03937959
Chad,TCD,2007,76.4211005
Chad,TCD,2012,76.4211005
Chad,TCD,2017,76.4211005
Chile,CHL,2007,83.03463069
Chile,CHL,2012,83.03463069
Chile,CHL,2017,83.03463069
China,CHN,1982,87.56375356
China,CHN,1987,84.95485392
China,CHN,1992,79.33867244
China,CHN,1997,72.48710743
China,CHN,2002,67.12937781
China,CHN,2007,63.01417819
China,CHN,2012,64.31294547
China,CHN,2017,64.40394583
Colombia,COL,2002,60.42279674
Colombia,COL,2007,55.10403373
Colombia,COL,2012,50.36645914
Colombia,COL,2017,46.95466902
Comoros,COM,2002,47
Comoros,COM,2007,47
Comoros,COM,2012,47
Comoros,COM,2017,47
Congo,COG,1987,11
Congo,COG,1992,10.10989011
Congo,COG,1997,9.300699301
Congo,COG,2002,8.695652174
Congo,COG,2007,4.362050164
Congo,COG,2012,4.362050164
Congo,COG,2017,4.362050164
Costa Rica,CRI,2012,71.52629329
Costa Rica,CRI,2017,72.07263619
Cote d'Ivoire,CIV,1987,66.99576869
Cote d'Ivoire,CIV,1992,65.90709501
Cote d'Ivoire,CIV,1997,53.01423811
Cote d'Ivoire,CIV,2002,40.82841852
Cote d'Ivoire,CIV,2007,40.71509993
Cote d'Ivoire,CIV,2012,47.94968128
Cote d'Ivoire,CIV,2017,51.63511188
Croatia,HRV,2002,1.028770706
Croatia,HRV,2007,0.491573034
Croatia,HRV,2012,5.107287508
Croatia,HRV,2017,10.62937063
Cuba,CUB,1997,51.52487836
Cuba,CUB,2002,52.4284117
Cuba,CUB,2007,50.15496182
Cuba,CUB,2012,63.23307762
Cuba,CUB,2017,64.93749102
Cyprus,CYP,1977,81.80708181
Cyprus,CYP,1982,78.41031149
Cyprus,CYP,1987,75.76045627
Cyprus,CYP,1992,73.7654321
Cyprus,CYP,1997,74.18851878
Cyprus,CYP,2002,75.93893542
Cyprus,CYP,2007,66.02031394
Cyprus,CYP,2012,67.32283465
Cyprus,CYP,2017,59.16398714
Czechia,CZE,1997,0.802407222
Czechia,CZE,2002,0.980083857
Czechia,CZE,2007,1.513458608
Czechia,CZE,2012,2.346550788
Czechia,CZE,2017,2.858194308
Democratic Republic of Congo,COD,1997,15.128057
Democratic Republic of Congo,COD,2002,11.52428274
Democratic Republic of Congo,COD,2007,10.51784669
Democratic Republic of Congo,COD,2012,10.51784669
Democratic Republic of Congo,COD,2017,10.51784669
Denmark,DNK,1972,31.94748359
Denmark,DNK,1977,38.17427386
Denmark,DNK,1982,39.57295374
Denmark,DNK,1987,42.18046972
Denmark,DNK,1992,34.69925853
Denmark,DNK,1997,39.57104558
Denmark,DNK,2002,24.73424165
Denmark,DNK,2007,20.58514366
Denmark,DNK,2012,26.03773585
Denmark,DNK,2017,44.08311969
Djibouti,DJI,1987,68.30985915
Djibouti,DJI,1992,39.08629442
Djibouti,DJI,1997,22.61904762
Djibouti,DJI,2002,15.78947368
Djibouti,DJI,2007,15.78947368
Djibouti,DJI,2012,15.78947368
Djibouti,DJI,2017,15.78947368
Dominica,DMA,2012,5
Dominica,DMA,2017,5
Dominican Republic,DOM,2002,84.48795771
Dominican Republic,DOM,2007,81.02011588
Dominican Republic,DOM,2012,81.44347589
Dominican Republic,DOM,2017,83.31221979
Early-demographic dividend,,2014,14.89
Early-demographic dividend,,2017,86.6811124843978
East Asia & Pacific,,2017,72.8213400479506
East Asia & Pacific (IDA & IBRD),,2017,73.8796571783399
East Asia & Pacific (excluding high income),,2017,73.8989644040448
Ecuador,ECU,2002,84.22765245
Ecuador,ECU,2007,81.4277072
Ecuador,ECU,2012,81.4277072
Ecuador,ECU,2017,81.4277072
Egypt,EGY,1997,86.24730208
Egypt,EGY,2002,86.27562642
Egypt,EGY,2007,86.03009722
Egypt,EGY,2012,85.06224066
Egypt,EGY,2017,79.16129032
El Salvador,SLV,1992,46.09053498
El Salvador,SLV,1997,53.03038659
El Salvador,SLV,2002,61.479967
El Salvador,SLV,2007,67.56373938
El Salvador,SLV,2012,67.56373938
El Salvador,SLV,2017,67.56373938
Equatorial Guinea,GNQ,1987,6
Equatorial Guinea,GNQ,1992,5.868263473
Equatorial Guinea,GNQ,1997,5.784313726
Equatorial Guinea,GNQ,2002,5.446623094
Equatorial Guinea,GNQ,2007,5.050505051
Equatorial Guinea,GNQ,2012,5.050505051
Equatorial Guinea,GNQ,2017,5.050505051
Eritrea,ERI,2002,84.38818565
Eritrea,ERI,2007,94.50171821
Eritrea,ERI,2012,94.50171821
Eritrea,ERI,2017,94.50171821
Estonia,EST,1997,1.37341529
Estonia,EST,2002,2.123142251
Estonia,EST,2007,0.414394766
Estonia,EST,2012,0.275904353
Estonia,EST,2017,0.252114964
Eswatini,SWZ,1982,95.98849748
Eswatini,SWZ,1987,96.19197979
Eswatini,SWZ,1992,96.35135135
Eswatini,SWZ,1997,96.47955296
Eswatini,SWZ,2002,95.59103003
Eswatini,SWZ,2007,94.19475655
Eswatini,SWZ,2012,94.19475655
Eswatini,SWZ,2017,94.19475655
Ethiopia,ETH,2002,93.63080245
Ethiopia,ETH,2007,89.68327674
Ethiopia,ETH,2012,91.00303853
Ethiopia,ETH,2017,91.83644448
Euro area,,2017,35.3367071767395
Europe & Central Asia,,2017,52.8997347303488
Europe & Central Asia (IDA & IBRD),,2017,64.9131641379235
Europe & Central Asia (excluding high income),,2017,66.8747156621559
European Union,,2017,31.7213475135724
Fiji,FJI,1987,60
Fiji,FJI,1992,60.75558982
Fiji,FJI,1997,61.08048512
Fiji,FJI,2002,60.25548325
Fiji,FJI,2007,58.89281508
Fiji,FJI,2012,58.89281508
Fiji,FJI,2017,58.89281508
Finland,FIN,1992,1.310079424
Finland,FIN,1997,1.933488012
Finland,FIN,2002,2.209504895
Finland,FIN,2007,2.387128902
Finland,FIN,2012,2.600587606
Finland,FIN,2017,2.678093198
Fragile and conflict affected situations,,2017,84.7369062647206
France,FRA,1992,12.54175059
France,FRA,1997,11.04152933
France,FRA,2002,13.25733
France,FRA,2007,12.52308476
France,FRA,2012,10.38021594
France,FRA,2017,11.77471821
Gabon,GAB,1987,6
Gabon,GAB,1992,21.29449838
Gabon,GAB,1997,29.92046276
Gabon,GAB,2002,31.52871225
Gabon,GAB,2007,28.97196262
Gabon,GAB,2012,28.97196262
Gabon,GAB,2017,28.97196262
Gambia,GMB,1982,91
Gambia,GMB,1987,61.053407
Gambia,GMB,1992,51.04668305
Gambia,GMB,1997,46.03870968
Gambia,GMB,2002,41.28923531
Gambia,GMB,2007,38.58267717
Gambia,GMB,2012,38.58267717
Gambia,GMB,2017,38.58267717
Georgia,GEO,1992,60.53088302
Georgia,GEO,1997,66.43224493
Georgia,GEO,2002,66.82243988
Georgia,GEO,2007,58.19084391
Georgia,GEO,2012,58.19084391
Georgia,GEO,2017,58.19084391
Germany,DEU,1992,3.478428845
Germany,DEU,1997,3.318335208
Germany,DEU,2002,2.256452765
Germany,DEU,2007,0.407739938
Germany,DEU,2012,1.78009171
Germany,DEU,2017,1.226383825
Ghana,GHA,1972,54.72790428
Ghana,GHA,1977,59.1839698
Ghana,GHA,1982,61.87150838
Ghana,GHA,1987,63.66902981
Ghana,GHA,1992,64.95584069
Ghana,GHA,1997,65.92252134
Ghana,GHA,2002,67.96139928
Ghana,GHA,2007,71.24266667
Ghana,GHA,2012,73.39414671
Ghana,GHA,2017,73.0574901
Greece,GRC,1972,67.68917499
Greece,GRC,1977,83.6334721
Greece,GRC,1982,83.66031319
Greece,GRC,1987,86.27290701
Greece,GRC,1992,98.28315501
Greece,GRC,1997,87.40655549
Greece,GRC,2002,90.93854628
Greece,GRC,2007,87.83243507
Greece,GRC,2012,83.37191746
Greece,GRC,2017,80.43379625
Grenada,GRD,2014,14.89
Guatemala,GTM,2002,59.6454244
Guatemala,GTM,2007,56.73716194
Guatemala,GTM,2012,56.73716194
Guatemala,GTM,2017,56.73716194
Guinea,GIN,1987,87.02702703
Guinea,GIN,1992,76.50901987
Guinea,GIN,1997,63.86709861
Guinea,GIN,2002,52.16013107
Guinea,GIN,2007,51.03676599
Guinea,GIN,2012,51.03676599
Guinea,GIN,2017,51.03676599
Guinea-Bissau,GNB,1992,69.5940348
Guinea-Bissau,GNB,1997,82.28571429
Guinea-Bissau,GNB,2002,79.55801105
Guinea-Bissau,GNB,2007,75.78947368
Guinea-Bissau,GNB,2012,75.78947368
Guinea-Bissau,GNB,2017,75.78947368
Guyana,GUY,1992,98.49315068
Guyana,GUY,1997,97.88553259
Guyana,GUY,2002,96.47792802
Guyana,GUY,2007,94.61010687
Guyana,GUY,2012,94.34484668
Guyana,GUY,2017,94.34484668
Haiti,HTI,1992,93.33617404
Haiti,HTI,1997,89.79426924
Haiti,HTI,2002,86.9597016
Haiti,HTI,2007,84.35991427
Haiti,HTI,2012,83.37931034
Haiti,HTI,2017,83.37931034
Heavily indebted poor countries (HIPC),,2017,90.7287513754204
High income,,2017,43.4941418132577
Honduras,HND,2007,73.30429372
Honduras,HND,2012,73.30429372
Honduras,HND,2017,73.30429372
Hungary,HUN,1972,22.37949593
Hungary,HUN,1977,22.45170727
Hungary,HUN,1982,28.7963328
Hungary,HUN,1987,28.95710533
Hungary,HUN,1992,13.29671715
Hungary,HUN,1997,7.308138082
Hungary,HUN,2002,11.88174205
Hungary,HUN,2007,5.515616144
Hungary,HUN,2012,6.374975252
Hungary,HUN,2017,11.52162805
IBRD only,,2017,76.9745848288256
IDA & IBRD total,,2014,14.89
IDA & IBRD total,,2017,79.2855782351842
IDA blend,,2014,14.89
IDA blend,,2017,90.8100543102235
IDA only,,2017,90.2867723107089
IDA total,,2014,14.89
IDA total,,2017,90.57261516619
Iceland,ISL,1982,3.649635037
Iceland,ISL,1987,3.571428571
Iceland,ISL,1992,41.91616766
Iceland,ISL,1997,42.55319149
Iceland,ISL,2002,42.42424242
Iceland,ISL,2007,16.31847725
Iceland,ISL,2012,0.101936799
Iceland,ISL,2017,0.107797341
India,IND,1977,93.40010909
India,IND,1982,94.22339665
India,IND,1987,93.57053934
India,IND,1992,91.87863929
India,IND,1997,91.61585366
India,IND,2002,91.22587897
India,IND,2007,90.68201503
India,IND,2012,90.40735874
India,IND,2017,90.40735874
Indonesia,IDN,1992,90.02892848
Indonesia,IDN,1997,84.3500966
Indonesia,IDN,2002,79.2179671
Indonesia,IDN,2007,78.66302823
Indonesia,IDN,2012,83.03832576
Indonesia,IDN,2017,85.2067285
Iran,IRN,1997,92.48826291
Iran,IRN,2002,92.95929593
Iran,IRN,2007,92.17577706
Iran,IRN,2012,92.17577706
Iran,IRN,2017,92.17577706
Iraq,IRQ,1977,97.47130624
Iraq,IRQ,1982,97.49782555
Iraq,IRQ,1987,95.25543947
Iraq,IRQ,1992,88.33052277
Iraq,IRQ,1997,81.66327913
Iraq,IRQ,2002,79.95412844
Iraq,IRQ,2007,83.58490566
Iraq,IRQ,2012,88.75816993
Iraq,IRQ,2017,91.49156939
Ireland,IRL,1982,12.62506582
Ireland,IRL,1987,13.75779163
Ireland,IRL,1992,14.81663795
Ireland,IRL,1997,16.16393158
Ireland,IRL,2002,18.02478699
Ireland,IRL,2007,24.52054795
Ireland,IRL,2012,20.86247086
Ireland,IRL,2017,20.78977933
Israel,ISR,1972,78.31825038
Israel,ISR,1977,74.68659595
Israel,ISR,1982,72.64705882
Israel,ISR,1987,71.38702496
Israel,ISR,1992,67.40576497
Israel,ISR,1997,63.98295329
Israel,ISR,2002,55.76187875
Israel,ISR,2007,56.3508921
Israel,ISR,2012,55.33233383
Israel,ISR,2017,54.21006944
Italy,ITA,1972,59.20110398
Italy,ITA,1977,53.84578066
Italy,ITA,1982,51.46321321
Italy,ITA,1987,52.92694603
Italy,ITA,1992,51.83003737
Italy,ITA,1997,47.04305774
Italy,ITA,2002,42.82922286
Italy,ITA,2007,38.3646762
Italy,ITA,2012,47.80704523
Italy,ITA,2017,49.72504973
Jamaica,JAM,1997,69.37222575
Jamaica,JAM,2002,61.84752182
Jamaica,JAM,2007,44.30769231
Jamaica,JAM,2012,24.08450704
Jamaica,JAM,2017,8.419497784
Japan,JPN,1982,65.48719759
Japan,JPN,1987,64.82088785
Japan,JPN,1992,64.11378556
Japan,JPN,1997,65.15436539
Japan,JPN,2002,66.21382162
Japan,JPN,2007,65.67847674
Japan,JPN,2012,66.82627379
Japan,JPN,2017,66.82627379
Jordan,JOR,1977,67.39579034
Jordan,JOR,1982,72.21245164
Jordan,JOR,1987,74.70312068
Jordan,JOR,1992,74.89837398
Jordan,JOR,1997,69.85931505
Jordan,JOR,2002,64.38356164
Jordan,JOR,2007,63.19742489
Jordan,JOR,2012,54.41696113
Jordan,JOR,2017,53.12709511
Kazakhstan,KAZ,1997,77.07475335
Kazakhstan,KAZ,2002,68.13078236
Kazakhstan,KAZ,2007,63.39602788
Kazakhstan,KAZ,2012,58.38085445
Kazakhstan,KAZ,2017,61.83796164
Kenya,KEN,1992,74.55983347
Kenya,KEN,1997,68.95395377
Kenya,KEN,2002,72.742838
Kenya,KEN,2007,64.93545785
Kenya,KEN,2012,59.26041019
Kenya,KEN,2017,80.20833333
Kuwait,KWT,1997,55.17746244
Kuwait,KWT,2002,53.86552781
Kuwait,KWT,2007,54.60011848
Kuwait,KWT,2012,57.66752978
Kuwait,KWT,2017,62.272
Kyrgyzstan,KGZ,1997,93.95015368
Kyrgyzstan,KGZ,2002,93.53853801
Kyrgyzstan,KGZ,2007,92.94497077
Kyrgyzstan,KGZ,2012,92.68929504
Kyrgyzstan,KGZ,2017,92.68929504
Laos,LAO,2007,93.18026824
Laos,LAO,2012,95.49819928
Laos,LAO,2017,95.90163934
Late-demographic dividend,,2017,65.6359011666831
Latin America & Caribbean,,2014,14.89
Latin America & Caribbean,,2017,71.771851127313
Latin America & Caribbean (IDA & IBRD),,2014,14.89
Latin America & Caribbean (IDA & IBRD),,2017,72.1035193388361
Latin America & Caribbean (excluding high income),,2014,14.89
Latin America & Caribbean (excluding high income),,2017,70.2281208474211
Latvia,LVA,1997,11.01667563
Latvia,LVA,2002,20.75692548
Latvia,LVA,2007,23.18973419
Latvia,LVA,2012,15.68024596
Latvia,LVA,2017,33.9591386
Least developed countries: UN classification,,2017,90.6904029381067
Lebanon,LBN,1977,82.04259754
Lebanon,LBN,1982,76.29408182
Lebanon,LBN,1987,72.0454436
Lebanon,LBN,1992,68.77741345
Lebanon,LBN,1997,65.84739545
Lebanon,LBN,2002,62.43676832
Lebanon,LBN,2007,53.95480226
Lebanon,LBN,2012,43.06960143
Lebanon,LBN,2017,38.04347826
Lesotho,LSO,1987,56
Lesotho,LSO,1992,38.2509922
Lesotho,LSO,1997,17.93366598
Lesotho,LSO,2002,8.675799087
Lesotho,LSO,2007,8.675799087
Lesotho,LSO,2012,8.675799087
Lesotho,LSO,2017,8.675799087
Liberia,LBR,1987,60
Liberia,LBR,1992,40.46635183
Liberia,LBR,1997,21.02473498
Liberia,LBR,2002,8.988599825
Liberia,LBR,2007,8.430431803
Liberia,LBR,2012,8.430431803
Liberia,LBR,2017,8.430431803
Libya,LBY,1987,76.62337662
Libya,LBY,1992,88.46153846
Libya,LBY,1997,84.96383469
Libya,LBY,2002,82.84789644
Libya,LBY,2007,82.95881235
Libya,LBY,2012,83.19039451
Libya,LBY,2017,83.19039451
Lithuania,LTU,1997,0.335623263
Lithuania,LTU,2002,2.643888158
Lithuania,LTU,2007,3.605112384
Lithuania,LTU,2012,9.114292381
Lithuania,LTU,2017,22.74131274
Low & middle income,,2014,14.89
Low & middle income,,2017,79.4902131561084
Low income,,2017,90.6222735303786
Lower middle income,,2017,88.0080137176609
Luxembourg,LUX,1997,0.342280407
Luxembourg,LUX,2002,0.305923648
Luxembourg,LUX,2007,0.255932141
Luxembourg,LUX,2012,0.449438202
Luxembourg,LUX,2017,0.877192983
Madagascar,MDG,1987,98.7193699
Madagascar,MDG,1992,98.20507809
Madagascar,MDG,1997,97.62304806
Madagascar,MDG,2002,96.98047559
Madagascar,MDG,2007,95.89212873
Madagascar,MDG,2012,95.89212873
Madagascar,MDG,2017,95.89212873
Malawi,MWI,1997,86.81091035
Malawi,MWI,2002,87.14368993
Malawi,MWI,2007,85.9375
Malawi,MWI,2012,85.9375
Malawi,MWI,2017,85.9375
Malaysia,MYS,1992,73.60760079
Malaysia,MYS,1997,45.64504373
Malaysia,MYS,2002,45.64504373
Malaysia,MYS,2007,45.64504373
Malaysia,MYS,2012,45.64504373
Malaysia,MYS,2017,45.64504373
Maldives,MDV,1987,0
Maldives,MDV,1992,0
Maldives,MDV,1997,0
Maldives,MDV,2002,0
Maldives,MDV,2007,0
Maldives,MDV,2012,0
Maldives,MDV,2017,0
Mali,MLI,1987,96.98529412
Mali,MLI,1992,97.81144999
Mali,MLI,1997,98.08074123
Mali,MLI,2002,98.11369402
Mali,MLI,2007,97.85962206
Mali,MLI,2012,97.85962206
Mali,MLI,2017,97.85962206
Malta,MLT,1997,20.15536604
Malta,MLT,2002,35.03707627
Malta,MLT,2007,43.20170253
Malta,MLT,2012,60.40100251
Malta,MLT,2017,39.81191223
Mauritania,MRT,1982,88.85175766
Mauritania,MRT,1987,92.33657708
Mauritania,MRT,1992,92.84859489
Mauritania,MRT,1997,93.36632277
Mauritania,MRT,2002,92.42413957
Mauritania,MRT,2007,90.57917346
Mauritania,MRT,2012,90.57917346
Mauritania,MRT,2017,90.57917346
Mauritius,MUS,1977,76.88888889
Mauritius,MUS,1982,76.88888889
Mauritius,MUS,1987,76.88888889
Mauritius,MUS,1992,76.01001821
Mauritius,MUS,1997,74.79674797
Mauritius,MUS,2002,69.8184545
Mauritius,MUS,2007,67.14285714
Mauritius,MUS,2012,62.71477663
Mauritius,MUS,2017,55.84415584
Mexico,MEX,1997,91.32347876
Mexico,MEX,2002,77.27272727
Mexico,MEX,2007,76.71944269
Mexico,MEX,2012,76.57162196
Mexico,MEX,2017,76.043896
Middle East & North Africa,,2017,85.4256341779233
Middle East & North Africa (IDA & IBRD),,2017,86.0432148758263
Middle East & North Africa (excluding high income),,2017,86.0432148758263
Middle income,,2014,14.89
Middle income,,2017,79.0355467167652
Moldova,MDA,1992,39.48038716
Moldova,MDA,1997,21.58927863
Moldova,MDA,2002,13.92773447
Moldova,MDA,2007,3.555165414
Moldova,MDA,2012,4.402357958
Moldova,MDA,2017,5
Monaco,MCO,1992,0
Monaco,MCO,1997,0
Monaco,MCO,2002,0
Monaco,MCO,2007,0
Monaco,MCO,2012,0
Monaco,MCO,2017,0
Mongolia,MNG,1997,48.88556221
Mongolia,MNG,2002,44.49178332
Mongolia,MNG,2007,42.30533415
Mongolia,MNG,2012,51.67244544
Mongolia,MNG,2017,54.26038062
Montenegro,MNE,2007,3.895337399
Montenegro,MNE,2012,1.056556868
Montenegro,MNE,2017,1.056556868
Morocco,MAR,1992,92.16840199
Morocco,MAR,1997,88.65478815
Morocco,MAR,2002,74.58153348
Morocco,MAR,2007,81.7055371
Morocco,MAR,2012,87.7768191
Morocco,MAR,2017,87.7768191
Mozambique,MOZ,1992,86.1968936
Mozambique,MOZ,1997,80.34630522
Mozambique,MOZ,2002,75.52974576
Mozambique,MOZ,2007,73.31730181
Mozambique,MOZ,2012,73.13489196
Mozambique,MOZ,2017,73.04820095
Myanmar,MMR,1987,98.59852775
Myanmar,MMR,1992,94.53189843
Myanmar,MMR,1997,90.94985624
Myanmar,MMR,2002,88.82083063
Myanmar,MMR,2007,88.55573591
Myanmar,MMR,2012,88.55573591
Myanmar,MMR,2017,88.55573591
Namibia,NAM,1987,75.61252269
Namibia,NAM,1992,68.7745098
Namibia,NAM,1997,70.96491228
Namibia,NAM,2002,69.79166667
Namibia,NAM,2007,69.79166667
Namibia,NAM,2012,69.79166667
Namibia,NAM,2017,69.79166667
Nepal,NPL,2002,97.73141478
Nepal,NPL,2007,98.13522023
Nepal,NPL,2012,98.13522023
Nepal,NPL,2017,98.13522023
Netherlands,NLD,1992,2.637185616
Netherlands,NLD,1997,2.784014369
Netherlands,NLD,2002,0.549786514
