Entity,Code,Year,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
Austria,AUT,1982,78.1091806217
Austria,AUT,1987,76.5898788249
Austria,AUT,1992,78.4955921286
Austria,AUT,1997,78.4007025054
Austria,AUT,2002,79.0907313076
Austria,AUT,2007,79.5102087919
Austria,AUT,2012,77.1741931789
Austria,AUT,2017,77.1741931789
Azerbaijan,AZE,1992,26.2868781632
Azerbaijan,AZE,1997,23.2061947115
Azerbaijan,AZE,2002,28.5858916714
Azerbaijan,AZE,2007,25.1670741646
Azerbaijan,AZE,2012,25.9732664996
Azerbaijan,AZE,2017,23.9563121988
Bahrain,BHR,1992,4.447200567
Bahrain,BHR,1997,4.9474895346
Bahrain,BHR,2002,5.5144820388
Bahrain,BHR,2007,5.2013661591
Bahrain,BHR,2012,4.6870215651
Bahrain,BHR,2017,3.2458563536
Bangladesh,BGD,2012,2.1466406468
Bangladesh,BGD,2017,2.1466406468
Barbados,BRB,1997,7.6543209877
Barbados,BRB,2002,7.6543209877
Barbados,BRB,2007,7.6543209877
Barbados,BRB,2012,7.6543209877
Barbados,BRB,2017,7.6543209877
Belarus,BLR,1997,31.9221967963
Belarus,BLR,2002,29.3791325787
Belarus,BLR,2007,29.9123447772
Belarus,BLR,2012,31.545412498
Belarus,BLR,2017,31.7108088762
Belgium,BEL,1982,85.7454179914
Belgium,BEL,1987,87.6850071961
Belgium,BEL,1992,89.7444742345
Belgium,BEL,1997,88.4265279584
Belgium,BEL,2002,88.5129118433
Belgium,BEL,2007,87.6586299519
Belgium,BEL,2012,84.7617140569
Belgium,BEL,2017,80.3705558338
Belize,BLZ,1987,0
Belize,BLZ,1992,23.0038882358
Belize,BLZ,1997,21.707458355
Belize,BLZ,2002,20.9900990099
Belize,BLZ,2007,20.9900990099
Belize,BLZ,2012,20.9900990099
Belize,BLZ,2017,20.9900990099
Benin,BEN,1987,14.105403937
Benin,BEN,1992,14.9986957656
Benin,BEN,1997,18.3063511831
Benin,BEN,2002,21.6271884655
Benin,BEN,2007,16.4576802508
Benin,BEN,2012,13.2827324478
Benin,BEN,2017,12.8205128205
Bhutan,BTN,2012,0.8875739645
Bhutan,BTN,2017,0.8875739645
Bolivia,BOL,1987,5
Bolivia,BOL,1992,3.5898573224
Bolivia,BOL,1997,2.6366001735
Bolivia,BOL,2002,2.0789421808
Bolivia,BOL,2007,1.6746143467
Bolivia,BOL,2012,1.5325670498
Bolivia,BOL,2017,1.5325670498
Botswana,BWA,1992,20.3539823009
Botswana,BWA,1997,18.6384747006
Botswana,BWA,2002,18.4605780177
Botswana,BWA,2007,18.2188119407
Botswana,BWA,2012,18.6824498199
Botswana,BWA,2017,12.1243523316
Brazil,BRA,1997,18.0467475992
Brazil,BRA,2002,17.7143863356
Brazil,BRA,2007,17.3225184709
Brazil,BRA,2012,18.7115687116
Brazil,BRA,2017,14.480595606
Bulgaria,BGR,1992,63.2336212153
Bulgaria,BGR,1997,62.0452265889
Bulgaria,BGR,2002,72.4844437699
Bulgaria,BGR,2007,72.4844437699
Bulgaria,BGR,2012,66.7891513561
Bulgaria,BGR,2017,69.6651055934
Burkina Faso,BFA,1987,0
Burkina Faso,BFA,1992,0
Burkina Faso,BFA,1997,1.0588235294
Burkina Faso,BFA,2002,2.4239380402
Burkina Faso,BFA,2007,2.6528117359
Burkina Faso,BFA,2012,2.6528117359
Burkina Faso,BFA,2017,2.6528117359
Burundi,BDI,1987,0
Burundi,BDI,1992,3.7946428571
Burundi,BDI,1997,5.3459119497
Burundi,BDI,2002,5.6874034546
Burundi,BDI,2007,5.3552302749
Burundi,BDI,2012,5.3552302749
Burundi,BDI,2017,5.3552302749
Cambodia,KHM,2007,1.510989011
Cambodia,KHM,2012,1.510989011
Cambodia,KHM,2017,1.510989011
Cameroon,CMR,1987,19.1919191919
Cameroon,CMR,1992,19
Cameroon,CMR,1997,9.4413129973
Cameroon,CMR,2002,8.157998424
Cameroon,CMR,2007,9.6104373392
Cameroon,CMR,2012,9.6104373392
Cameroon,CMR,2017,9.6104373392
Canada,CAN,1992,79.4790351638
Canada,CAN,1997,77.8859028309
Canada,CAN,2002,78.5311691422
Canada,CAN,2007,80.1548886738
Canada,CAN,2012,76.7077051845
Canada,CAN,2017,78.8549596876
Cape Verde,CPV,2002,1.6326530612
Cape Verde,CPV,2007,1.4814814815
Cape Verde,CPV,2012,1.4814814815
Cape Verde,CPV,2017,1.4814814815
Caribbean Small States,,2014,0
Caribbean Small States,,2017,34.7862032901257
Central African Republic,CAF,1987,20.618556701
Central African Republic,CAF,1992,17.893870835
Central African Republic,CAF,1997,16.9397389614
Central African Republic,CAF,2002,16.5890570431
Central African Republic,CAF,2007,16.5517241379
Central African Republic,CAF,2012,16.5517241379
Central African Republic,CAF,2017,16.5517241379
Central Europe and the Baltics,,2017,68.1633684675309
Chad,TCD,1987,2.2099447514
Chad,TCD,1992,8.8782307155
Chad,TCD,1997,10.7604705657
Chad,TCD,2002,10.9803102071
Chad,TCD,2007,11.7894497499
Chad,TCD,2012,11.7894497499
Chad,TCD,2017,11.7894497499
Chile,CHL,1992,10.8969935929
Chile,CHL,1997,8.8789053814
Chile,CHL,2002,10.0650652949
Chile,CHL,2007,13.3894047585
Chile,CHL,2012,13.3894047585
Chile,CHL,2017,13.3894047585
China,CHN,1982,8.5924104898
China,CHN,1987,8.5343691419
China,CHN,1992,15.1597219535
China,CHN,1997,19.4216287946
China,CHN,2002,21.7176881849
China,CHN,2007,24.5580255558
China,CHN,2012,23.6035140063
China,CHN,2017,22.3206821602
Colombia,COL,2002,9.4815026425
Colombia,COL,2007,17.8139044554
Colombia,COL,2012,23.5321932382
Colombia,COL,2017,27.4043053413
Comoros,COM,2002,5
Comoros,COM,2007,5
Comoros,COM,2012,5
Comoros,COM,2017,5
Congo,COG,1987,27
Congo,COG,1992,25.0793650794
Congo,COG,1997,23.3333333333
Congo,COG,2002,21.7391304348
Congo,COG,2007,26.1723009815
Congo,COG,2012,26.1723009815
Congo,COG,2017,26.1723009815
Costa Rica,CRI,2012,3.6767849508
Costa Rica,CRI,2017,7.5140889167
Cote d'Ivoire,CIV,1987,11.0014104372
Cote d'Ivoire,CIV,1992,16.7673891428
Cote d'Ivoire,CIV,1997,20.43320206
Cote d'Ivoire,CIV,2002,19.7247706422
Cote d'Ivoire,CIV,2007,20.5942700813
Cote d'Ivoire,CIV,2012,20.7435632634
Cote d'Ivoire,CIV,2017,20.82616179
Croatia,HRV,2002,10.9503051439
Croatia,HRV,2007,18.7214712079
Croatia,HRV,2012,21.2133398443
Croatia,HRV,2017,25.7342657343
Cuba,CUB,1997,14.6382692479
Cuba,CUB,2002,14.5334467142
Cuba,CUB,2007,15.4090789394
Cuba,CUB,2012,11.1867926279
Cuba,CUB,2017,10.6337117402
Cyprus,CYP,1977,0
Cyprus,CYP,1982,0
Cyprus,CYP,1987,0.9505703422
Cyprus,CYP,1992,2.3148148148
Cyprus,CYP,1997,2.0552799433
Cyprus,CYP,2002,2.2629019184
Cyprus,CYP,2007,3.6934441367
Cyprus,CYP,2012,1.6535433071
Cyprus,CYP,2017,5.4662379421
Czechia,CZE,1997,60.74222668
Czechia,CZE,2002,71.4129362437
Czechia,CZE,2007,61.509276133
Czechia,CZE,2012,57.5598300157
Czechia,CZE,2017,59.3228655545
Democratic Republic of Congo,COD,1997,19.9171962257
Democratic Republic of Congo,COD,2002,21.230966501
Democratic Republic of Congo,COD,2007,21.4745465184
Democratic Republic of Congo,COD,2012,21.4745465184
Democratic Republic of Congo,COD,2017,21.4745465184
Denmark,DNK,1972,7.2210065646
Denmark,DNK,1977,3.734439834
Denmark,DNK,1982,11.3167259786
Denmark,DNK,1987,23.7775030902
Denmark,DNK,1992,17.2899034189
Denmark,DNK,1997,13.9258266309
Denmark,DNK,2002,9.2678544692
Denmark,DNK,2007,7.4106517169
Denmark,DNK,2012,17.8895877009
Denmark,DNK,2017,4.4393469167
Djibouti,DJI,1987,0
Djibouti,DJI,1992,0
Djibouti,DJI,1997,0
Djibouti,DJI,2002,0
Djibouti,DJI,2007,0
Djibouti,DJI,2012,0
Djibouti,DJI,2017,0
Dominica,DMA,2012,0
Dominica,DMA,2017,0
Dominican Republic,DOM,2002,2.7922459369
Dominican Republic,DOM,2007,6.3439880216
Dominican Republic,DOM,2012,7.7675538439
Dominican Republic,DOM,2017,7.2693023717
Early-demographic dividend,,2014,0
Early-demographic dividend,,2017,4.054143921553
East Asia & Pacific,,2017,15.1658719085688
East Asia & Pacific (IDA & IBRD),,2017,15.1172701033767
East Asia & Pacific (excluding high income),,2017,15.1024654618602
Ecuador,ECU,2002,4.7007290135
Ecuador,ECU,2007,5.5353901996
Ecuador,ECU,2012,5.5353901996
Ecuador,ECU,2017,5.5353901996
Egypt,EGY,1997,6.79652878
Egypt,EGY,2002,5.125284738
Egypt,EGY,2007,3.4625116527
Egypt,EGY,2012,1.6597510373
Egypt,EGY,2017,6.9677419355
El Salvador,SLV,1992,20.1646090535
El Salvador,SLV,1997,17.9286383941
El Salvador,SLV,2002,13.590874852
El Salvador,SLV,2007,10.0566572238
El Salvador,SLV,2012,10.0566572238
El Salvador,SLV,2017,10.0566572238
Equatorial Guinea,GNQ,1987,13
Equatorial Guinea,GNQ,1992,14.0119760479
Equatorial Guinea,GNQ,1997,14.6568627451
Equatorial Guinea,GNQ,2002,15.0326797386
Equatorial Guinea,GNQ,2007,15.1515151515
Equatorial Guinea,GNQ,2012,15.1515151515
Equatorial Guinea,GNQ,2017,15.1515151515
Eritrea,ERI,2002,6.2989752863
Eritrea,ERI,2007,0.1718213058
Eritrea,ERI,2012,0.1718213058
Eritrea,ERI,2017,0.1718213058
Estonia,EST,1992,85.6653992395
Estonia,EST,1997,92.4632417141
Estonia,EST,2002,99.5644836409
Estonia,EST,2007,82.3504739535
Estonia,EST,2012,95.9534028204
Estonia,EST,2017,96.4199675052
Eswatini,SWZ,1982,2.2429906542
Eswatini,SWZ,1987,1.8440164193
Eswatini,SWZ,1992,1.5315315315
Eswatini,SWZ,1997,1.2801625603
Eswatini,SWZ,2002,1.4709236032
Eswatini,SWZ,2007,1.9382022472
Eswatini,SWZ,2012,1.9382022472
Eswatini,SWZ,2017,1.9382022472
Ethiopia,ETH,2002,0.3778337531
Ethiopia,ETH,2007,0.6119767142
Ethiopia,ETH,2012,0.5339039961
Ethiopia,ETH,2017,0.484447436
Euro area,,2017,45.3297447802086
Europe & Central Asia,,2017,30.5538037767113
Europe & Central Asia (IDA & IBRD),,2017,22.2145447698595
Europe & Central Asia (excluding high income),,2017,20.6099189812412
European Union,,2017,48.5909103692912
Fiji,FJI,1987,20
Fiji,FJI,1992,14.1865844256
Fiji,FJI,1997,11.6868798236
Fiji,FJI,2002,10.9906001446
Fiji,FJI,2007,11.3074204947
Fiji,FJI,2012,11.3074204947
Fiji,FJI,2017,11.3074204947
Finland,FIN,1992,81.5278801277
Finland,FIN,1997,82.1345707657
Finland,FIN,2002,79.9376955505
Finland,FIN,2007,78.1568156928
Finland,FIN,2012,76.2046234043
Finland,FIN,2017,75.8971612212
Fragile and conflict affected situations,,2017,5.04764138359933
France,FRA,1987,71.0873963582
France,FRA,1992,72.2062160577
France,FRA,1997,69.545154911
France,FRA,2002,68.3103160627
France,FRA,2007,69.3816468191
France,FRA,2012,70.4486334319
France,FRA,2017,68.651183902
Gabon,GAB,1987,22
Gabon,GAB,1992,15.0346740638
Gabon,GAB,1997,11.1062906725
Gabon,GAB,2002,9.7637302457
Gabon,GAB,2007,10.1365923796
Gabon,GAB,2012,10.1365923796
Gabon,GAB,2017,10.1365923796
Gambia,GMB,1982,2
Gambia,GMB,1987,12.8291385308
Gambia,GMB,1992,16.4477204477
Gambia,GMB,1997,18.2586789555
Gambia,GMB,2002,19.9283758163
Gambia,GMB,2007,20.8661417323
Gambia,GMB,2012,20.8661417323
Gambia,GMB,2017,20.8661417323
Georgia,GEO,1992,18.8959220989
Georgia,GEO,1997,14.5191228222
Georgia,GEO,2002,14.7835179139
Georgia,GEO,2007,22.0628792057
Georgia,GEO,2012,22.0628792057
Georgia,GEO,2017,22.0628792057
Germany,DEU,1997,83.08023997
Germany,DEU,2002,83.495386621
Germany,DEU,2007,80.9287925697
Germany,DEU,2012,78.8997870073
Germany,DEU,2017,80.8177528982
Ghana,GHA,1972,12.3697414126
Ghana,GHA,1977,11.3402061856
Ghana,GHA,1982,10.719273743
Ghana,GHA,1987,10.3039720307
Ghana,GHA,1992,10.0066655557
Ghana,GHA,1997,9.78332239
Ghana,GHA,2002,9.1676718938
Ghana,GHA,2007,8.1066666667
Ghana,GHA,2012,7.2215887495
Ghana,GHA,2017,6.4864126724
Greece,GRC,1977,2.6848776837
Greece,GRC,1982,3.3928979235
Greece,GRC,1987,3.5304429612
Greece,GRC,1992,2.9415484781
Greece,GRC,1997,2.6900517539
Greece,GRC,2002,2.5324909097
Greece,GRC,2007,3.3801676065
Greece,GRC,2012,1.2682435833
Greece,GRC,2017,1.8531533856
Grenada,GRD,2014,0
Guatemala,GTM,2002,18.6850926628
Guatemala,GTM,2007,18.1432568214
Guatemala,GTM,2012,18.1432568214
Guatemala,GTM,2017,18.1432568214
Guinea,GIN,1987,2.972972973
Guinea,GIN,1992,4.9535327662
Guinea,GIN,1997,7.3340294325
Guinea,GIN,2002,9.5701107668
Guinea,GIN,2007,9.7926468026
Guinea,GIN,2012,9.7926468026
Guinea,GIN,2017,9.7926468026
Guinea-Bissau,GNB,1992,4.3082021541
Guinea-Bissau,GNB,1997,4.5714285714
Guinea-Bissau,GNB,2002,5.2817679558
Guinea-Bissau,GNB,2007,6.2631578947
Guinea-Bissau,GNB,2012,6.2631578947
Guinea-Bissau,GNB,2017,6.2631578947
Guyana,GUY,1992,0.4794520548
Guyana,GUY,1997,0.5643879173
Guyana,GUY,2002,0.8798965997
Guyana,GUY,2007,1.3458239873
Guyana,GUY,2012,1.4120578667
Guyana,GUY,2017,1.4120578667
Haiti,HTI,1992,0.4923892716
Haiti,HTI,1997,0.8583034856
Haiti,HTI,2002,2.0332041249
Haiti,HTI,2007,3.1107906176
Haiti,HTI,2012,3.5172413793
Haiti,HTI,2017,3.5172413793
Heavily indebted poor countries (HIPC),,2017,1.915411497683
High income,,2017,40.3861050391526
Honduras,HND,2007,7.0939639079
Honduras,HND,2012,7.0939639079
Honduras,HND,2017,7.0939639079
Hungary,HUN,1972,57.0512364559
Hungary,HUN,1977,58.3043324759
Hungary,HUN,1982,56.7582590589
Hungary,HUN,1987,60.5583281009
Hungary,HUN,1992,72.9147693041
Hungary,HUN,1997,78.6011652251
Hungary,HUN,2002,73.5877755826
Hungary,HUN,2007,80.2911433941
Hungary,HUN,2012,79.4496139378
Hungary,HUN,2017,74.6039856924
IBRD only,,2017,11.7120546856487
IDA & IBRD total,,2014,0
IDA & IBRD total,,2017,10.0952919822872
IDA blend,,2014,0
IDA blend,,2017,2.23754934117533
IDA only,,2017,2.15241887755959
IDA total,,2014,0
IDA total,,2017,2.19892140359895
Iceland,ISL,1982,9.1240875912
Iceland,ISL,1987,8.9285714286
Iceland,ISL,1992,5.9880239521
Iceland,ISL,1997,7.5987841945
Iceland,ISL,2002,8.4848484848
Iceland,ISL,2007,44.452181987
Iceland,ISL,2012,67.957866123
Iceland,ISL,2017,71.1462450593
India,IND,1977,3.5106857738
India,IND,1982,2.503844571
India,IND,1987,2.4095417855
India,IND,1992,2.6815813668
India,IND,1997,1.9921008869
India,IND,2002,1.7798039093
India,IND,2007,2.081528876
India,IND,2012,2.2339027595
India,IND,2017,2.2339027595
Indonesia,IDN,1992,2.1676877672
Indonesia,IDN,1997,5.2078094505
Indonesia,IDN,2002,10.6996101209
Indonesia,IDN,2007,12.3865137009
Indonesia,IDN,2012,7.1591782469
Indonesia,IDN,2017,4.1031284389
Iran,IRN,1997,1.1737089202
Iran,IRN,2002,1.154796087
Iran,IRN,2007,1.1789924973
Iran,IRN,2012,1.1789924973
Iran,IRN,2017,1.1789924973
Iraq,IRQ,1977,0.9691543268
Iraq,IRQ,1982,0.6212547389
Iraq,IRQ,1987,2.2956004984
Iraq,IRQ,1992,7.6981450253
Iraq,IRQ,1997,12.5880758808
Iraq,IRQ,2002,13.8302752294
Iraq,IRQ,2007,11.1320754717
Iraq,IRQ,2012,7.2875816993
Iraq,IRQ,2017,5.317769131
Ireland,IRL,1982,48.5650342285
Ireland,IRL,1987,46.927871772
Ireland,IRL,1992,45.3974895397
Ireland,IRL,1997,37.6695319962
Ireland,IRL,2002,23.5708752905
Ireland,IRL,2007,6.9863013699
Ireland,IRL,2012,5.9440559441
Ireland,IRL,2017,5.9233449477
Israel,ISR,1972,4.9019607843
Israel,ISR,1977,5.1530858245
Israel,ISR,1982,5.2941176471
Israel,ISR,1987,5.4339646306
Israel,ISR,1992,5.8758314856
Israel,ISR,1997,6.1116996936
Israel,ISR,2002,6.663025669
Israel,ISR,2007,6.4517841971
Israel,ISR,2012,6.1569215392
Israel,ISR,2017,3.125
Italy,ITA,1972,23.9877710978
Italy,ITA,1977,29.3778433461
Italy,ITA,1982,31.9570305093
Italy,ITA,1987,30.9808804641
Italy,ITA,1992,31.4008450462
Italy,ITA,1997,33.8821176914
Italy,ITA,2002,35.6640946197
Italy,ITA,2007,34.7175478843
Italy,ITA,2012,24.4991524812
Italy,ITA,2017,22.5225225225
Jamaica,JAM,1997,7.6199534982
Jamaica,JAM,2002,8.4431088424
Jamaica,JAM,2007,26.9450549451
Jamaica,JAM,2012,54.6388005452
Jamaica,JAM,2017,81.2407680945
Japan,JPN,1982,18.4581527576
Japan,JPN,1987,17.8483619437
Japan,JPN,1992,17.2866520788
Japan,JPN,1997,16.2952307182
Japan,JPN,2002,14.5540460721
Japan,JPN,2007,15.4013015184
Japan,JPN,2012,14.2541436464
Japan,JPN,2017,14.2541436464
Jordan,JOR,1977,5.4065208419
Jordan,JOR,1982,4.2560675343
Jordan,JOR,1987,4.2253521127
Jordan,JOR,1992,3.3536585366
Jordan,JOR,1997,4.0358107148
Jordan,JOR,2002,4.6077210461
Jordan,JOR,2007,5.2575107296
Jordan,JOR,2012,3.8869257951
Jordan,JOR,2017,3.1127286658
Kazakhstan,KAZ,1997,18.662117091
Kazakhstan,KAZ,2002,21.6069343394
Kazakhstan,KAZ,2007,25.4592485422
Kazakhstan,KAZ,2012,29.9943909507
Kazakhstan,KAZ,2017,28.5632489469
Kenya,KEN,1992,4.2577684562
Kenya,KEN,1997,5.3185735405
Kenya,KEN,2002,4.7643271008
Kenya,KEN,2007,4.0338846309
Kenya,KEN,2012,3.8844002486
Kenya,KEN,2017,7.5148809524
Kuwait,KWT,1997,2.7255296883
Kuwait,KWT,2002,2.2777047744
Kuwait,KWT,2007,2.2430390995
Kuwait,KWT,2012,2.091489729
Kuwait,KWT,2017,1.864
Kyrgyzstan,KGZ,1997,2.9703773736
Kyrgyzstan,KGZ,2002,3.3940426741
Kyrgyzstan,KGZ,2007,4.2330175368
Kyrgyzstan,KGZ,2012,4.3864229765
Kyrgyzstan,KGZ,2017,4.3864229765
Laos,LAO,2007,3.8645146624
Laos,LAO,2012,2.5510204082
Laos,LAO,2017,2.3224043716
Late-demographic dividend,,2017,21.1172100386345
Latin America & Caribbean,,2014,0
Latin America & Caribbean,,2017,10.6268945033239
Latin America & Caribbean (IDA & IBRD),,2014,0
Latin America & Caribbean (IDA & IBRD),,2017,10.4612671843123
Latin America & Caribbean (excluding high income),,2014,0
Latin America & Caribbean (excluding high income),,2017,10.7491073803578
Latvia,LVA,2007,19.5233730522
Latvia,LVA,2012,21.6372021522
Latvia,LVA,2017,13.9149641082
Least developed countries: UN classification,,2017,1.78728768396905
Lebanon,LBN,1977,3.9731648538
Lebanon,LBN,1982,3.9306870398
Lebanon,LBN,1987,3.8992923506
Lebanon,LBN,1992,3.875143721
Lebanon,LBN,1997,4.7285399853
Lebanon,LBN,2002,7.7569012863
Lebanon,LBN,2007,21.186440678
Lebanon,LBN,2012,40.1546698394
Lebanon,LBN,2017,48.9130434783
Lesotho,LSO,1987,22
Lesotho,LSO,1992,30.8745039004
Lesotho,LSO,1997,41.0331670091
Lesotho,LSO,2002,45.6621004566
Lesotho,LSO,2007,45.6621004566
Lesotho,LSO,2012,45.6621004566
Lesotho,LSO,2017,45.6621004566
Liberia,LBR,1987,13
Liberia,LBR,1992,21.9716646989
Liberia,LBR,1997,30.9010600707
Liberia,LBR,2002,36.3928675826
Liberia,LBR,2007,36.6004112406
Liberia,LBR,2012,36.6004112406
Liberia,LBR,2017,36.6004112406
Libya,LBY,1992,1.8162393162
Libya,LBY,1997,2.5996898836
Libya,LBY,2002,3.0513176144
Libya,LBY,2007,3.618506522
Libya,LBY,2012,4.8027444254
Libya,LBY,2017,4.8027444254
Lithuania,LTU,1997,94.577586659
Lithuania,LTU,2002,90.9651096
Lithuania,LTU,2007,63.7474997457
Lithuania,LTU,2012,76.0294824107
Lithuania,LTU,2017,26.9111969112
Low & middle income,,2014,0
Low & middle income,,2017,9.91793263877011
Low income,,2017,2.64851526419593
Lower middle income,,2017,3.83332173545195
Luxembourg,LUX,1997,24.4235695986
Luxembourg,LUX,2002,19.6918221779
Luxembourg,LUX,2007,12.0288106468
Luxembourg,LUX,2012,8.3146067416
Luxembourg,LUX,2017,3.5087719298
Madagascar,MDG,1987,0.155684755
Madagascar,MDG,1992,0.4408107143
Madagascar,MDG,1997,0.7634910814
Madagascar,MDG,2002,1.0685756403
Madagascar,MDG,2007,1.1942258186
Madagascar,MDG,2012,1.1942258186
Madagascar,MDG,2017,1.1942258186
Malawi,MWI,1997,3.3099320981
Malawi,MWI,2002,3.215198577
Malawi,MWI,2007,3.515625
Malawi,MWI,2012,3.515625
Malawi,MWI,2017,3.515625
Malaysia,MYS,1992,14.5150104796
Malaysia,MYS,1997,29.9016034985
Malaysia,MYS,2002,29.9016034985
Malaysia,MYS,2007,29.9016034985
Malaysia,MYS,2012,29.9016034985
Malaysia,MYS,2017,29.9016034985
Maldives,MDV,1987,2.9411764706
Maldives,MDV,1992,3.0405405405
Maldives,MDV,1997,3.0997304582
Maldives,MDV,2002,3.5856573705
Maldives,MDV,2007,4.9732289951
Maldives,MDV,2012,5.0847457627
Maldives,MDV,2017,5.0847457627
Mali,MLI,1987,1.0294117647
Mali,MLI,1992,0.4187128457
Mali,MLI,1997,0.2154137631
Mali,MLI,2002,0.119634496
Mali,MLI,2007,0.0771307366
Mali,MLI,2012,0.0771307366
Mali,MLI,2017,0.0771307366
Malta,MLT,1987,0
Malta,MLT,1992,0
Malta,MLT,1997,0.3546398717
Malta,MLT,2002,1.1917372881
Malta,MLT,2007,2.1281626862
Malta,MLT,2012,2.5062656642
Malta,MLT,2017,1.5673981191
Mauritania,MRT,1982,2.6284623082
Mauritania,MRT,1987,1.7054565787
Mauritania,MRT,1992,1.6576569141
Mauritania,MRT,1997,1.6093241834
Mauritania,MRT,2002,1.8939651076
Mauritania,MRT,2007,2.3552066361
Mauritania,MRT,2012,2.3552066361
Mauritania,MRT,2017,2.3552066361
Mauritius,MUS,1977,6.8888888889
Mauritius,MUS,1982,6.8888888889
Mauritius,MUS,1987,6.8888888889
Mauritius,MUS,1992,7.2053734062
Mauritius,MUS,1997,7.6422764228
Mauritius,MUS,2002,4.2047517563
Mauritius,MUS,2007,0.9523809524
Mauritius,MUS,2012,1.8900343643
Mauritius,MUS,2017,1.9480519481
Mexico,MEX,2002,9.5041322314
Mexico,MEX,2007,9.1450284991
Mexico,MEX,2012,8.9480618375
Mexico,MEX,2017,7.7569327444
Middle East & North Africa,,2017,4.32950600606669
Middle East & North Africa (IDA & IBRD),,2017,4.34457699419643
Middle East & North Africa (excluding high income),,2017,4.34457699419643
Middle income,,2014,0
Middle income,,2017,10.2148372550473
Moldova,MDA,1992,46.8160978095
Moldova,MDA,1997,64.7518087737
Moldova,MDA,2002,73.8532643039
Moldova,MDA,2007,82.0486092061
Moldova,MDA,2012,79.2048162549
Moldova,MDA,2017,77.380952381
Monaco,MCO,1992,0
Monaco,MCO,1997,0
Monaco,MCO,2002,0
Monaco,MCO,2007,0
Monaco,MCO,2012,0
Monaco,MCO,2017,0
Mongolia,MNG,1997,31.869594145
Mongolia,MNG,2002,36.9141813755
Mongolia,MNG,2007,41.3243408952
Mongolia,MNG,2012,33.4489088313
Mongolia,MNG,2017,35.9429065744
Montenegro,MNE,2007,39.7206374188
Montenegro,MNE,2012,39.0304536979
Montenegro,MNE,2017,39.0304536979
Morocco,MAR,1992,2.9153463105
Morocco,MAR,1997,2.9660544399
Morocco,MAR,2002,5.1700863931
Morocco,MAR,2007,3.4760825233
Morocco,MAR,2012,2.0324034129
Morocco,MAR,2017,2.0324034129
Mozambique,MOZ,1992,2.1971919704
Mozambique,MOZ,1997,2.6059099937
Mozambique,MOZ,2002,3.0587817802
Mozambique,MOZ,2007,2.9106528032
Mozambique,MOZ,2012,2.0881258093
